filename,label,red_dx,red_dz,blue_dx,blue_dz,split
img_09770.png,None,,,,,train
img_03631.png,Both,6.00000,5.00000,2.00000,2.00000,train
img_07059.png,None,,,,,train
img_00421.png,None,,,,,train
img_09878.png,None,,,,,train
img_07213.png,Red_Cube,5.00000,3.00000,,,train
img_07847.png,Blue_Cube,,,3.00000,-0.00000,train
img_09353.png,None,,,,,train
img_06686.png,Red_Cube,3.00000,1.00000,,,train
img_05617.png,Both,3.00000,-2.00000,6.00000,-4.00000,train
img_04179.png,Blue_Cube,,,1.00000,-1.00000,train
img_05546.png,None,,,,,train
img_04963.png,None,,,,,train
img_09111.png,None,,,,,train
img_04775.png,Red_Cube,6.00000,1.00000,,,train
img_02151.png,None,,,,,train
img_07050.png,Both,5.00000,-4.00000,5.00000,2.00000,train
img_00270.png,None,,,,,train
img_04547.png,Blue_Cube,,,2.00000,-0.00000,train
img_07812.png,None,,,,,train
img_03723.png,None,,,,,train
img_07022.png,None,,,,,train
img_02403.png,None,,,,,train
img_05846.png,Blue_Cube,,,3.00000,-2.00000,train
img_04004.png,None,,,,,train
img_07368.png,None,,,,,train
img_00308.png,None,,,,,train
img_08081.png,Both,5.00000,0.00000,6.00000,3.00000,train
img_00507.png,Red_Cube,3.00000,1.00000,,,train
img_03072.png,None,,,,,train
img_02276.png,None,,,,,train
img_08585.png,None,,,,,train
img_07811.png,None,,,,,train
img_03176.png,None,,,,,train
img_05732.png,None,,,,,train
img_09192.png,None,,,,,train
img_02673.png,None,,,,,train
img_06926.png,None,,,,,train
img_07434.png,None,,,,,train
img_09953.png,None,,,,,train
img_04669.png,None,,,,,train
img_01675.png,None,,,,,train
img_00031.png,Blue_Cube,,,5.00000,3.00000,train
img_04583.png,None,,,,,train
img_00477.png,None,,,,,train
img_03044.png,None,,,,,train
img_05464.png,None,,,,,train
img_04538.png,Red_Cube,6.00000,-1.00000,,,train
img_00899.png,Both,8.00000,4.00000,5.00000,4.00000,train
img_04944.png,None,,,,,train
img_02380.png,Both,3.00000,2.00000,5.00000,-4.00000,train
img_04550.png,Blue_Cube,,,2.00000,1.00000,train
img_01742.png,None,,,,,train
img_04092.png,None,,,,,train
img_03090.png,None,,,,,train
img_01326.png,Blue_Cube,,,6.00000,-3.00000,train
img_02595.png,None,,,,,train
img_01728.png,Blue_Cube,,,5.00000,-2.00000,train
img_02189.png,None,,,,,train
img_07860.png,Blue_Cube,,,2.00000,2.00000,train
img_07592.png,None,,,,,train
img_09452.png,Blue_Cube,,,6.00000,2.00000,train
img_04687.png,None,,,,,train
img_09348.png,None,,,,,train
img_04129.png,Blue_Cube,,,5.00000,1.00000,train
img_08044.png,None,,,,,train
img_06666.png,Blue_Cube,,,8.00000,-3.00000,train
img_01583.png,Blue_Cube,,,5.00000,-1.00000,train
img_04514.png,Red_Cube,5.00000,-1.00000,,,train
